Current time: 0
Clientii ce asteapta: 
Task{id=38, arrivalTime=10, serviceTime=5}
Task{id=73, arrivalTime=10, serviceTime=5}
Task{id=105, arrivalTime=10, serviceTime=8}
Task{id=143, arrivalTime=10, serviceTime=4}
Task{id=155, arrivalTime=10, serviceTime=4}
Task{id=174, arrivalTime=10, serviceTime=6}
Task{id=270, arrivalTime=10, serviceTime=3}
Task{id=277, arrivalTime=10, serviceTime=8}
Task{id=296, arrivalTime=10, serviceTime=3}
Task{id=306, arrivalTime=10, serviceTime=3}
Task{id=341, arrivalTime=10, serviceTime=5}
Task{id=345, arrivalTime=10, serviceTime=3}
Task{id=364, arrivalTime=10, serviceTime=3}
Task{id=451, arrivalTime=10, serviceTime=4}
Task{id=523, arrivalTime=10, serviceTime=5}
Task{id=629, arrivalTime=10, serviceTime=8}
Task{id=672, arrivalTime=10, serviceTime=3}
Task{id=673, arrivalTime=10, serviceTime=5}
Task{id=711, arrivalTime=10, serviceTime=3}
Task{id=775, arrivalTime=10, serviceTime=8}
Task{id=862, arrivalTime=10, serviceTime=5}
Task{id=865, arrivalTime=10, serviceTime=4}
Task{id=21, arrivalTime=11, serviceTime=5}
Task{id=45, arrivalTime=11, serviceTime=5}
Task{id=109, arrivalTime=11, serviceTime=7}
Task{id=137, arrivalTime=11, serviceTime=8}
Task{id=294, arrivalTime=11, serviceTime=5}
Task{id=322, arrivalTime=11, serviceTime=7}
Task{id=331, arrivalTime=11, serviceTime=3}
Task{id=398, arrivalTime=11, serviceTime=6}
Task{id=508, arrivalTime=11, serviceTime=7}
Task{id=546, arrivalTime=11, serviceTime=3}
Task{id=558, arrivalTime=11, serviceTime=3}
Task{id=607, arrivalTime=11, serviceTime=5}
Task{id=636, arrivalTime=11, serviceTime=5}
Task{id=647, arrivalTime=11, serviceTime=5}
Task{id=752, arrivalTime=11, serviceTime=4}
Task{id=808, arrivalTime=11, serviceTime=3}
Task{id=818, arrivalTime=11, serviceTime=3}
Task{id=916, arrivalTime=11, serviceTime=5}
Task{id=929, arrivalTime=11, serviceTime=3}
Task{id=954, arrivalTime=11, serviceTime=8}
Task{id=991, arrivalTime=11, serviceTime=5}
Task{id=35, arrivalTime=12, serviceTime=6}
